K,model,Recall,Precision,NDCG,MAP,HitRate,Affordability,n_users
3,Cascade R^b,0.6307755855579817,0.33451240024150186,0.5758172390339409,0.5116736673764339,0.8037590514717005,0.8763001087275517,257831
3,Cascade R^w (miles),0.5916330237390842,0.3155534757308249,0.5438448502602433,0.4811411231582314,0.7690773245346172,1.0,252158
3,PersonalPop R^b,0.653472623540226,0.34662369278067157,0.6274555832757832,0.570313823137378,0.8276080067951488,0.8804876062226807,257831
3,PersonalPop R^w (miles),0.6048531568308827,0.3219095557052832,0.5840981440339748,0.5283526878311072,0.7814157187586699,1.0,252310
5,Cascade R^b,0.7600637626972707,0.2488746504493254,0.639175639245535,0.5573370088675655,0.8990579100263351,0.8521760377921972,257831
5,Cascade R^w (miles),0.7026427874586568,0.2307648379190825,0.5984412842072883,0.5200148650184937,0.856312312121765,1.0,252158
5,PersonalPop R^b,0.7327222095093298,0.23785580477134252,0.666758160264585,0.5988596535456688,0.8871314931098278,0.8720169413297861,257831
5,PersonalPop R^w (miles),0.6742915461139075,0.2194276881613888,0.6185765041179918,0.5530035141955003,0.8372002695097301,1.0,252310
7,Cascade R^b,0.8396333257055979,0.19969393018793588,0.6725510174796234,0.5780808479012924,0.9467558206732317,0.8374228522891796,257831
7,Cascade R^w (miles),0.7650362074572292,0.1820066330294044,0.6245973204285619,0.536008852537279,0.8969733262478288,1.0,252158
7,PersonalPop R^b,0.774709014819785,0.18146271893493907,0.6843513596402995,0.6094813213749647,0.9161505016852124,0.8641762572050241,257831
7,PersonalPop R^w (miles),0.7111252031231422,0.16689729754213917,0.6340155038011837,0.5621625985418544,0.8647457492766835,1.0,252310
10,Cascade R^b,0.8976073474485224,0.1511051813009297,0.6939603112101455,0.5894734149100868,0.9756158103563962,0.8235390624090974,257831
10,Cascade R^w (miles),0.8122605667874904,0.13662306966267185,0.6420251794165206,0.5451413486089662,0.922802369942655,1.0,252158
10,PersonalPop R^b,0.811537402407003,0.13420418801462977,0.6979254846340518,0.616412293385485,0.9393672599493467,0.8616907974603517,257831
10,PersonalPop R^w (miles),0.743034362490587,0.12306527684198011,0.6457923020603624,0.5680801151329964,0.8866989021441877,1.0,252310
